Customer ID,Age Group,Income Group,Profession,Geography,Education Level,Preferred EV Type,Environment Consciousness,Technology Adoption,Intention to Purchase
CUST001,46-55,High (Above 20 lakhs),Government Employee,Rural,High School,Scooter,3,3,1
CUST002,18-25,Upper Middle (10-20 lakhs),Business Owner,Urban,Master's Degree,E-Bike,1,1,1
CUST003,26-35,Middle (3-10 lakhs),Government Employee,East India,Bachelor's Degree,Scooter,4,2,3
CUST004,26-35,Upper Middle (10-20 lakhs),Business Owner,South India,PhD,Bike,3,3,4
CUST005,56-65,Low (Below 3 lakhs),Student,South India,Master's Degree,E-Bike,1,1,4
CUST006,56-65,Low (Below 3 lakhs),Student,West India,Master's Degree,Bike,5,2,4
CUST007,66+,Middle (3-10 lakhs),Professional (IT),Urban,Bachelor's Degree,Bike,1,4,5
CUST008,18-25,Upper Middle (10-20 lakhs),Government Employee,West India,PhD,Scooter,5,5,4
CUST009,36-45,Low (Below 3 lakhs),Retired,West India,High School,Car,4,1,4
CUST010,18-25,Low (Below 3 lakhs),Government Employee,South India,High School,Scooter,3,1,3
CUST011,26-35,Low (Below 3 lakhs),Government Employee,North India,Master's Degree,E-Bike,2,4,2
CUST012,46-55,Upper Middle (10-20 lakhs),Professional (IT),South India,Bachelor's Degree,Bike,5,4,5
CUST013,18-25,Low (Below 3 lakhs),Professional (IT),South India,Master's Degree,E-Bike,3,3,1
CUST014,26-35,High (Above 20 lakhs),Student,South India,Bachelor's Degree,Car,2,5,3
CUST015,46-55,High (Above 20 lakhs),Retired,West India,Master's Degree,Bike,2,5,4
CUST016,46-55,Low (Below 3 lakhs),Government Employee,North India,Bachelor's Degree,E-Bike,5,1,1
CUST017,26-35,Low (Below 3 lakhs),Professional (Healthcare),South India,Master's Degree,Scooter,3,4,3
CUST018,46-55,Upper Middle (10-20 lakhs),Business Owner,Urban,Bachelor's Degree,Bike,2,5,5
CUST019,56-65,Low (Below 3 lakhs),Student,Urban,Master's Degree,Car,1,2,4
CUST020,18-25,Low (Below 3 lakhs),Government Employee,North India,Bachelor's Degree,E-Bike,1,5,5
CUST021,56-65,High (Above 20 lakhs),Government Employee,East India,Bachelor's Degree,Bike,3,1,3
CUST022,56-65,Upper Middle (10-20 lakhs),Government Employee,West India,High School,Car,4,5,1
CUST023,36-45,Middle (3-10 lakhs),Retired,East India,High School,Car,1,3,2
CUST024,18-25,High (Above 20 lakhs),Government Employee,South India,High School,Bike,5,4,4
CUST025,66+,High (Above 20 lakhs),Student,East India,Master's Degree,Bike,3,1,5
CUST026,36-45,Low (Below 3 lakhs),Retired,Rural,PhD,Car,2,1,1
CUST027,18-25,Low (Below 3 lakhs),Professional (IT),West India,High School,E-Bike,1,4,1
CUST028,18-25,Middle (3-10 lakhs),Government Employee,Urban,High School,E-Bike,3,4,2
CUST029,66+,Middle (3-10 lakhs),Retired,Rural,Bachelor's Degree,Scooter,3,4,3
CUST030,46-55,Middle (3-10 lakhs),Government Employee,Urban,Master's Degree,Car,4,1,2
CUST031,56-65,Upper Middle (10-20 lakhs),Retired,East India,PhD,E-Bike,2,4,2
CUST032,56-65,Upper Middle (10-20 lakhs),Professional (IT),North India,Master's Degree,Scooter,2,4,3
CUST033,46-55,High (Above 20 lakhs),Retired,East India,Bachelor's Degree,Bike,2,1,3
